time,open,high,low,close,Fast EMA,Standard EMA,Slow EMA,SPX · TVC: close,MA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Short Period Moving Average,Long Period Moving Average,Plot,Shapes,Shapes,Volume,Volume MA,Histogram,MACD,Signal,OBV,Signal,Crossover,Crossunder,Basis,Upper Band,Lower Band,Upper Band,Lower Band,volume,MA,ATR,ATR,Plot,RoC & MA Cross Up,RoC & MA Cross Down,Basis,Rate of Change,Bull,Hidden Bull,Bear,Hidden Bear
1473168600,138.71,140.42,135.41,135.52,139.1650000000002,127.05016999999992,120.18754935622314,2127.81,138.69428571428554,139.4375,135.37,119.35,128.255,125.065,138.69428571428554,129.82874,NaN,0,0,41613581,38432928.916666664,-0.4841512633260936,2.4813580765085135,2.965509339834607,1481073037,1414953212.4285715,NaN,NaN,40656403.557692304,52237570.3948657,29075236.72051891,63818737.232039094,17494069.88334552,41613581,3.2832241431637414,3.2958218699990898,3.328107900310159,51.1891435182071,0,0,NaN,-0.06636678711009764,NaN,NaN,NaN,NaN
1473687000,135.32,136,133.03,134.75,138.2800000000002,127.18696999999993,120.284330472103,2139.16,137.7214285714284,137.35500000000002,135.37,117.25,128.4225,125.065,137.7214285714284,130.03253999999998,NaN,0,0,49521757,38825169.708333336,-0.7160868926045478,2.0704007240789224,2.7864876166834702,1431551280,1425417551.9047618,NaN,NaN,40495794.884615384,51893539.27874933,29098050.49048144,63291283.67288327,17700306.096347496,49521757,3.231620694140351,3.289305432599108,3.2769496288372792,49.62129356663399,0,0,NaN,-0.7585800559728981,NaN,NaN,NaN,NaN
1474291800,134.52,137.34,134.18,136.82,138.12300000000022,127.35796999999991,120.38694849785406,2164.69,137.55285714285696,137.35500000000002,135.37,118.64,128.6975,125.065,137.55285714285696,130.32334,NaN,0,0,42213853,39351988.291666664,-0.7172225051137251,1.889959485291314,2.607181990405039,1473765133,1436123007.6666667,NaN,NaN,40445809.23076923,51830201.9146691,29061416.546869367,63214594.59856896,17677023.862969503,42213853,3.2211034521203006,3.2867193239471253,3.260242539003382,53.72466220705899,0,0,NaN,-2.6677100377036354,NaN,NaN,NaN,NaN
1474896600,137.07,139.15,136.87,137.51,137.9940000000002,127.54056999999992,120.47566094420598,2168.27,137.1857142857141,136.945,135.37,120.88,128.9275,125.065,137.1857142857141,130.59493999999998,NaN,0,0,46137407,40145733.958333336,-0.6600712886670754,1.782092879571195,2.4421641682382704,1519902540,1446926153.5238094,NaN,NaN,40357261.32692308,51678960.842438705,29035561.811407454,63000660.35795433,17713862.29589183,46137407,3.208088673245972,3.2675849374681833,3.1273507477171862,55.03925265789656,0,0,NaN,-4.240947075208916,NaN,NaN,NaN,NaN
1475501400,137.68,137.77,133.09,133.92,137.2300000000002,127.68226999999992,120.54797849785406,2153.74,136.50142857142836,136.945,135.37,120.71,128.46249999999998,125.065,136.50142857142836,130.80934,NaN,0,0,46348327,40510235.5,-0.8410181433925166,1.3908914889976245,2.231909632390141,1473554213,1453934933.142857,NaN,NaN,40370042.84615385,51698121.7344058,29041963.9579019,63026200.622657746,17713885.06964995,46348327,3.2683617199251187,3.29583323871882,3.3491577837575894,47.48145987751466,0,0,NaN,-3.2300021677866892,NaN,NaN,NaN,NaN
1476106200,132.85,133.93,131.53,131.59,136.5890000000002,127.80326999999993,120.60935193133045,2132.98,135.53428571428552,136.11,135.37,120.71,128.46249999999998,125.065,135.53428571428552,130.98554000000001,NaN,0,0,41837656,40705537.375,-1.0793876163977068,0.8826751118930076,1.9620627282907144,1431716557,1460562176.7619047,NaN,NaN,40499632.98076923,51805192.97186871,29194072.989669755,63110752.962968186,17888512.998570275,41837656,3.2454529027929597,3.277916573944444,3.213563814649363,43.32339649437295,0,0,NaN,-5.194524495677238,NaN,NaN,NaN,NaN
1476711000,132.1,133.7526,131.83,133.31,135.91200000000018,127.9353699999999,120.6744592274678,2141.16,134.77428571428553,136.11,135.37,123.47,128.34,125.065,134.77428571428553,131.27174000000002,NaN,0,0,39993187,40535007.041666664,-1.080331071240866,0.6116488892396319,1.691979960480498,1471709744,1470522538.7619047,NaN,NaN,40629005.192307696,51889448.19762336,29368562.18699203,63149891.202939026,18108119.181676365,39993187,3.2027482023939653,3.2556102424655546,3.063426126842311,47.01231607871367,0,0,NaN,-5.827917490816615,NaN,NaN,NaN,NaN
1477315800,133.41,133.555,130.0649,130.45,135.08600000000018,128.01496999999992,120.7214549356223,2126.41,134.0499999999998,135.24245,135.71,123.54,128.34,125.065,134.0499999999998,131.48714,NaN,0,0,35070380,40607382.708333336,-1.2222336473895916,0.16418790124350835,1.3864215486331,1436639364,1477139936.047619,NaN,NaN,40429308.865384616,51694480.13460936,29164137.596159875,62959651.40383409,17898966.32693514,35070380,3.175575602051972,3.2603000376162434,3.1243795372934113,42.104926310028304,0,0,NaN,-5.471014492753631,NaN,NaN,NaN,NaN
1477920600,130.89,132.11,129.88,131.74,134.42400000000018,128.12146999999993,120.75381502145922,2085.18,133.6199999999998,135.14999999999998,136.265,122.35,128.505,125.065,133.6199999999998,131.71293999999997,NaN,0,0,42044055,40949826.666666664,-1.1774188798579117,-0.08535205118928957,1.0920668286686221,1478683419,1484265528.6666667,NaN,NaN,40439260.807692304,51705625.539248854,29172896.076135755,62971990.2708054,17906531.34457921,42044055,3.149427658901691,3.239694036863919,2.996611031965784,44.898809523359546,0,0,NaN,-5.953740719588809,NaN,NaN,NaN,NaN
1478529000,130.75,131.21,121.65,122.04,132.76500000000016,128.07886999999994,120.74797815450643,2164.45,131.50857142857123,130.4,132.635,121.29,128.5875,125.065,131.50857142857123,131.73434,131.50857142857123,0,1,77198063,42916316.833333336,-1.7165951123518777,-1.053677061771225,0.6629180505806527,1401485356,1485642778.5714285,NaN,NaN,41280719.23076923,53579752.16009649,28981686.301441975,65878785.089423746,16682653.372114714,77198063,3.281586564772879,3.376700156126641,4.009952313113529,32.283164849579336,0,0,NaN,-12.017879028188307,NaN,NaN,NaN,NaN
